Round,Hotspot_Energy_Ratio,Coverage_Ratio,k,f
249,0.3926,1.0,8,0.5
250,0.3907,1.0,8,0.5
251,0.388,1.0,8,0.5
252,0.3858,1.0,8,0.5
253,0.3831,1.0,8,0.5
254,0.3797,1.0,8,0.5
255,0.3775,1.0,8,0.5
256,0.3753,1.0,8,0.5
257,0.3729,1.0,8,0.5
258,0.3699,1.0,8,0.5
259,0.3674,1.0,8,0.5
260,0.3646,1.0,8,0.5
261,0.3626,1.0,8,0.5
262,0.3606,1.0,8,0.5
263,0.3574,1.0,8,0.5
264,0.3546,1.0,8,0.5
265,0.3518,1.0,8,0.5
266,0.3483,1.0,8,0.5
267,0.3464,1.0,8,0.5
268,0.3436,1.0,8,0.5
269,0.3413,1.0,8,0.5
270,0.3394,1.0,8,0.5
271,0.3382,1.0,8,0.5
272,0.3354,1.0,8,0.5
273,0.3328,1.0,8,0.5
274,0.3301,1.0,8,0.5
275,0.3281,1.0,8,0.5
276,0.3256,1.0,8,0.5
277,0.3229,1.0,8,0.5
278,0.321,1.0,8,0.5
279,0.3177,1.0,8,0.5
280,0.3154,1.0,8,0.5
281,0.3128,1.0,8,0.5
282,0.3096,1.0,8,0.5
283,0.3069,1.0,8,0.5
284,0.3052,1.0,8,0.5
285,0.303,1.0,8,0.5
286,0.3005,1.0,8,0.5
287,0.2987,1.0,8,0.5
288,0.2957,1.0,8,0.5
289,0.2943,1.0,8,0.5
290,0.2915,1.0,8,0.5
291,0.2895,1.0,8,0.5
292,0.2879,1.0,8,0.5
293,0.2859,1.0,8,0.5
294,0.2824,1.0,8,0.5
295,0.2801,1.0,8,0.5
296,0.2783,1.0,8,0.5
297,0.2764,1.0,8,0.5
298,0.2742,1.0,8,0.5
299,0.2706,1.0,8,0.5
300,0.2681,1.0,8,0.5
301,0.266,1.0,8,0.5
302,0.2628,1.0,8,0.5
303,0.2608,1.0,8,0.5
304,0.2582,1.0,8,0.5
305,0.2561,1.0,8,0.5
306,0.2537,1.0,8,0.5
307,0.2515,1.0,8,0.5
308,0.2496,1.0,8,0.5
309,0.2472,1.0,8,0.5
310,0.2444,0.9997,8,0.5
311,0.2427,0.9997,8,0.5
312,0.2404,0.9997,8,0.5
313,0.2382,0.9997,8,0.5
314,0.2362,0.9997,8,0.5
315,0.2345,0.9997,8,0.5
316,0.2328,0.9997,8,0.5
317,0.231,0.9997,8,0.5
318,0.2282,0.9997,8,0.5
319,0.2258,0.9997,8,0.5
320,0.224,0.9997,8,0.5
321,0.2224,0.9997,8,0.5
322,0.22,0.9997,8,0.5
323,0.218,0.9997,8,0.5
324,0.216,0.9997,8,0.5
325,0.2144,0.9997,8,0.5
326,0.2119,0.9997,8,0.5
327,0.21,0.9997,8,0.5
328,0.2074,0.9997,8,0.5
329,0.2045,0.9997,8,0.5
330,0.2028,0.9997,8,0.5
331,0.1998,0.9997,8,0.5
332,0.1974,0.9997,8,0.5
333,0.1953,0.9997,8,0.5
334,0.1941,0.9997,8,0.5
335,0.1925,0.9997,8,0.5
336,0.1903,0.9997,8,0.5
337,0.1879,0.9997,8,0.5
338,0.1865,0.9997,8,0.5
339,0.1852,0.9997,8,0.5
340,0.1828,0.9997,8,0.5
341,0.1816,0.9997,8,0.5
342,0.18,0.9997,8,0.5
343,0.1784,0.9993,8,0.5
344,0.1772,0.9993,8,0.5
345,0.1765,0.9993,8,0.5
346,0.1749,0.9993,8,0.5
347,0.1738,0.9993,8,0.5
348,0.1715,0.9993,8,0.5
349,0.1697,0.9993,8,0.5
350,0.168,0.9993,8,0.5
351,0.1657,0.9993,8,0.5
352,0.1643,0.9993,8,0.5
353,0.1628,0.9993,8,0.5
354,0.1614,0.9993,8,0.5
355,0.1603,0.9993,8,0.5
356,0.1586,0.9993,8,0.5
357,0.1576,0.9993,8,0.5
358,0.1557,0.9993,8,0.5
359,0.1543,0.9993,8,0.5
360,0.1527,0.9993,8,0.5
361,0.1518,0.9993,8,0.5
362,0.1506,0.999,8,0.5
363,0.1492,0.999,8,0.5
364,0.1474,0.999,8,0.5
365,0.146,0.999,8,0.5
366,0.144,0.999,8,0.5
367,0.143,0.999,8,0.5
368,0.1414,0.999,8,0.5
369,0.1399,0.999,8,0.5
370,0.1379,0.999,8,0.5
371,0.1369,0.999,8,0.5
372,0.136,0.999,8,0.5
373,0.135,0.999,8,0.5
374,0.1321,0.999,8,0.5
375,0.1306,0.999,8,0.5
376,0.1294,0.999,8,0.5
377,0.128,0.999,8,0.5
378,0.1272,0.999,8,0.5
379,0.1257,0.9987,8,0.5
380,0.1246,0.9987,8,0.5
381,0.124,0.9987,8,0.5
382,0.1229,0.9987,8,0.5
383,0.1215,0.9987,8,0.5
384,0.1205,0.9987,8,0.5
385,0.1191,0.9987,8,0.5
386,0.118,0.9987,8,0.5
387,0.1168,0.9987,8,0.5
388,0.1157,0.9987,8,0.5
389,0.1144,0.9987,8,0.5
390,0.1131,0.9987,8,0.5
391,0.1117,0.9983,8,0.5
392,0.1115,0.9983,8,0.5
393,0.1111,0.9983,8,0.5
394,0.1103,0.9983,8,0.5
395,0.1098,0.9983,8,0.5
396,0.1093,0.9983,8,0.5
397,0.1084,0.9983,8,0.5
398,0.1078,0.9983,8,0.5
399,0.1071,0.9983,8,0.5
400,0.1067,0.9983,8,0.5
401,0.1057,0.9983,8,0.5
402,0.105,0.9983,8,0.5
403,0.1041,0.9983,8,0.5
404,0.1032,0.9983,8,0.5
405,0.102,0.9983,8,0.5
406,0.1009,0.9983,8,0.5
407,0.0998,0.9983,8,0.5
408,0.0993,0.9983,8,0.5
409,0.0987,0.9983,8,0.5
410,0.0979,0.9983,8,0.5
411,0.0964,0.9983,8,0.5
412,0.0963,0.9983,8,0.5
413,0.0959,0.9983,8,0.5
414,0.0957,0.9983,8,0.5
415,0.0953,0.9983,8,0.5
416,0.0946,0.9983,8,0.5
417,0.0934,0.9983,8,0.5
418,0.0928,0.9983,8,0.5
419,0.0923,0.9983,8,0.5
420,0.0919,0.9983,8,0.5
421,0.0916,0.9983,8,0.5
422,0.0912,0.9983,8,0.5
423,0.0903,0.9983,8,0.5
424,0.0898,0.9983,8,0.5
425,0.0896,0.9983,8,0.5
426,0.0889,0.9983,8,0.5
427,0.0884,0.9983,8,0.5
428,0.0876,0.9983,8,0.5
429,0.0871,0.9983,8,0.5
430,0.0866,0.9983,8,0.5
431,0.0862,0.9983,8,0.5
432,0.0854,0.9983,8,0.5
433,0.0849,0.9983,8,0.5
434,0.0837,0.9983,8,0.5
435,0.0833,0.9983,8,0.5
436,0.0824,0.9983,8,0.5
437,0.082,0.9983,8,0.5
438,0.0813,0.9983,8,0.5
439,0.0804,0.9983,8,0.5
440,0.079,0.9983,8,0.5
441,0.0774,0.9983,8,0.5
442,0.0769,0.9983,8,0.5
443,0.0765,0.9983,8,0.5
444,0.0763,0.9983,8,0.5
445,0.0758,0.9983,8,0.5
446,0.0751,0.9983,8,0.5
447,0.074,0.9983,8,0.5
448,0.0732,0.9983,8,0.5
449,0.0723,0.9983,8,0.5
450,0.0716,0.9983,8,0.5
451,0.0712,0.9983,8,0.5
452,0.0705,0.9983,8,0.5
453,0.0694,0.9983,8,0.5
454,0.0689,0.9983,8,0.5
455,0.0685,0.9983,8,0.5
456,0.0674,0.9983,8,0.5
457,0.0663,0.9983,8,0.5
458,0.0654,0.998,8,0.5
459,0.065,0.998,8,0.5
460,0.064,0.998,8,0.5
461,0.0634,0.998,8,0.5
462,0.0629,0.998,8,0.5
463,0.0628,0.998,8,0.5
464,0.062,0.998,8,0.5
465,0.0615,0.998,8,0.5
466,0.0606,0.998,8,0.5
467,0.0603,0.998,8,0.5
468,0.0599,0.998,8,0.5
469,0.0592,0.998,8,0.5
470,0.0588,0.998,8,0.5
471,0.0586,0.998,8,0.5
472,0.0583,0.998,8,0.5
473,0.0577,0.998,8,0.5
474,0.0574,0.998,8,0.5
475,0.0569,0.998,8,0.5
476,0.056,0.998,8,0.5
477,0.0558,0.998,8,0.5
478,0.0557,0.998,8,0.5
479,0.0552,0.998,8,0.5
480,0.0546,0.998,8,0.5
481,0.0542,0.998,8,0.5
482,0.0539,0.998,8,0.5
483,0.0534,0.998,8,0.5
484,0.0528,0.998,8,0.5
485,0.0525,0.998,8,0.5
486,0.0524,0.998,8,0.5
487,0.0522,0.998,8,0.5
488,0.0522,0.998,8,0.5
489,0.0516,0.998,8,0.5
490,0.0513,0.998,8,0.5
491,0.051,0.998,8,0.5
492,0.0507,0.998,8,0.5
493,0.0502,0.998,8,0.5
494,0.0499,0.998,8,0.5
495,0.0498,0.998,8,0.5
496,0.0488,0.998,8,0.5
497,0.0482,0.998,8,0.5
498,0.0481,0.998,8,0.5
499,0.0477,0.998,8,0.5
500,0.0473,0.998,8,0.5
501,0.047,0.998,8,0.5
502,0.0469,0.998,8,0.5
503,0.0461,0.998,8,0.5
504,0.0453,0.998,8,0.5
505,0.0446,0.998,8,0.5
506,0.0445,0.998,8,0.5
507,0.0442,0.998,8,0.5
508,0.044,0.998,8,0.5
509,0.0438,0.998,8,0.5
510,0.0436,0.998,8,0.5
511,0.0429,0.998,8,0.5
512,0.0428,0.998,8,0.5
513,0.0426,0.998,8,0.5
514,0.0423,0.998,8,0.5
515,0.0419,0.998,8,0.5
516,0.0413,0.998,8,0.5
517,0.0406,0.998,8,0.5
518,0.0405,0.9977,8,0.5
519,0.0402,0.9977,8,0.5
520,0.0401,0.9977,8,0.5
521,0.04,0.9977,8,0.5
522,0.0398,0.9977,8,0.5
523,0.0396,0.9977,8,0.5
524,0.0394,0.9977,8,0.5
525,0.0392,0.9977,8,0.5
526,0.0391,0.9977,8,0.5
527,0.039,0.9977,8,0.5
528,0.0387,0.9977,8,0.5
529,0.0386,0.9977,8,0.5
530,0.0385,0.9977,8,0.5
531,0.0381,0.9977,8,0.5
532,0.0379,0.9977,8,0.5
533,0.0378,0.9977,8,0.5
534,0.0377,0.9977,8,0.5
535,0.0375,0.9977,8,0.5
536,0.0374,0.9977,8,0.5
537,0.0373,0.9977,8,0.5
538,0.0372,0.9977,8,0.5
539,0.0371,0.9977,8,0.5
540,0.0369,0.9977,8,0.5
541,0.0367,0.9977,8,0.5
542,0.0366,0.9977,8,0.5
543,0.0364,0.9977,8,0.5
544,0.0363,0.9977,8,0.5
545,0.0362,0.9977,8,0.5
546,0.036,0.9977,8,0.5
547,0.0359,0.9977,8,0.5
548,0.0357,0.9977,8,0.5
549,0.0356,0.9977,8,0.5
550,0.0353,0.9977,8,0.5
551,0.0351,0.9977,8,0.5
552,0.0348,0.9977,8,0.5
553,0.0347,0.9977,8,0.5
554,0.0343,0.9977,8,0.5
555,0.0343,0.9977,8,0.5
556,0.0341,0.9977,8,0.5
